Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1980,60096,13356511,8341289,2671997,36067,164420785,1019509,27896528,3099754,32646,61865,14692000,7549433,6150733,4157298,9859242,3717165,6822843,79639491,8861535,359888,210591,4179855,9643000,144155,54670,5579935,120694009,252394,193879,406875,897868,2199356,24515667,106576687,6319408,128212,11419348,981235000,8033650,8621406,26358908,1777934,26900506,307829,283847,2389977,5482206,9849459,148041,16212,685405,10304193,78288576,358960,75314,5123027,5803927,19221665,1360444852,1590290482,1559194619,350139462,794002749,7989186,43309063,302184230,1733416,37491165,1477219,35141712,407875852,289802066,4779535,635307,55161527,43337,72930,726328,56314216,4467700,11056116,30065,4871435,637246,781677,249929,9642505,89032,50200,7283459,104133,780153,934008001,5063100,3678279,270668574,4599782,5643173,10711122,2891281645,3530412139,639130494,212160514,147447836,426969980,63551,698952844,,3412800,38650246,13653354,228138,3878000,56433883,2162846,2377995,116782000,14796174,16417197,3617400,6693764,59301,43205,38123775,1368677,339067716,3258144,2588929,1853001,3219466,117822,360591861,390612563,257758125,25879,15035834,1481859807,3500013974,1340255,1596184271,3413202,364150,2511701,238071,8771,19990012,26745,2728099,8716553,158272,184628605,67761372,30576,3242255849,1924197,7090126,316645,34224313,166616401,572608,1689622,16633,11630194,1540640,966039,6250440,13798085,251795337,1057727,140050,5989004,73423633,3265519,14149800,4085620,15016402,7741,3112900,989638618,1154377,13598543,78054343,1978487,17547610,47357743,12179,3571205,35574150,317462492,3206000,17472140,9766312,3181625,,1420310,909865629,153301,223632,22207282,139010000,5153312,900620572,9691476,14507468,5583165,2413945,230546,3388495,4591134,21459,6281134,,383124971,4502604,383188232,20501059,95794,359519,4979815,1901315,8310531,587858,,63261,8930774,7888,4514430,1342952245,390313394,2720839,47374472,3905446,2876808,346721295,599905,166616401,92971,900620572,383188232,1084744,6374039,43975971,7637,18538259,12442334,49965874,1760396042,2915389,227225000,15898757,100566,15182611,11478,99636,54281846,115597,4434021975,155525,1521000,7941898,28556769,5851825,7408624
1981,60567,13171673,8640446,2726056,37500,169698994,1096610,28338515,3148096,33701,61800,14927000,7568710,6249314,4266520,9858982,3820128,6985160,81767515,8891117,374120,215326,4222471,9710000,147566,55050,5697096,123570327,253298,200021,418111,930408,2264442,24819915,107191491,6354074,128982,11582014,993885000,8393691,8888535,27040322,1830632,27496617,317606,288677,2455588,5548512,9898889,148629,16860,689173,10300591,78407907,374937,75309,5121572,5935909,19824301,1381740161,1630688780,1582789699,353859116,799296289,8197652,44400113,303343135,1784561,37758631,1487666,35984528,409551932,297288184,4799964,651021,55430296,43725,75423,744696,56333829,4504500,11348289,29902,4969592,657579,793806,264374,9729350,90607,51000,7466488,106485,781732,941672267,5183400,3792919,277719103,4611509,5773366,10711848,2944612598,3601268626,656656028,218662193,150938232,437993835,63776,715384993,,3453000,40199906,14044117,230755,3956000,56501675,2196921,2464867,117648000,14958908,17063876,3685800,6749847,60104,42960,38723248,1439331,346786830,3323366,2594302,1918826,3347781,119430,368601995,400528924,264051673,26238,15272831,1518293900,3570596695,1377799,1618775545,3432947,365225,2519421,243373,8678,20479715,27162,2754609,8971345,163824,190731422,69407624,31893,3306545022,1941530,7234728,318982,34976462,171766031,579445,1733475,18158,11913088,1586493,980462,6412384,14134058,254340965,1080941,142650,6163705,75440502,3360140,14247208,4099702,15367230,7875,3124900,998349556,1220585,13917162,80680459,2025971,17985393,48672838,12279,3668104,35898587,326257657,3242552,17731230,9851362,3272912,,1453208,915958644,157953,247988,22353070,139941000,5329252,922226636,10311775,15027248,5740444,2532835,238429,3464106,4666364,21765,6511113,,394217921,4646489,394281956,20918882,97770,360143,5016105,1906531,8320503,608380,,64035,9252851,8235,4612849,1363987509,394369212,2812307,48326274,4020821,2947779,354637282,603842,171766031,93409,922226636,394281956,1101983,6551231,44988414,7827,19120680,12825082,50221000,1788251122,2934613,229466000,16321696,101437,15597886,11826,99853,55522803,118541,4512268962,156407,1552000,8231910,29333103,6055366,7675591
1982,61345,12882528,8952950,2784278,39114,175061792,1164806,28794548,3193689,34968,61779,15178000,7574140,6349553,4379724,9856303,3927714,7158255,83932127,8917457,385950,220184,4265185,9776000,151500,55449,5814345,126498314,254082,206065,428934,962875,2335333,25116942,107770028,6391309,129979,11743911,1008630000,8764989,9166816,27717291,1884875,28101819,326946,294254,2523354,5617885,9940317,150101,17439,691702,10314826,78333366,385271,75003,5117810,6067770,20452902,1405396789,1672527054,1608678553,357399180,804063632,8409397,45539296,304174240,1836823,37986012,1498414,36995248,410895587,304675651,4826933,668280,55718933,44108,78012,763930,56313641,4542800,11676823,29691,5077082,678113,810405,284630,9789513,93122,51500,7654819,108906,781246,948924500,5264500,3910640,284905162,4634234,5910227,10705535,3000786139,3675483595,674697456,225330186,154468229,449367270,63772,732239504,,3485800,41869236,14432468,233860,4031000,56543548,2234057,2563534,118449000,15128087,17736326,3759300,6919801,60887,42728,39326352,1507645,354608437,3401191,2606139,1989483,3480454,120988,376714428,410740611,270462062,26536,15501207,1555686714,3644529753,1415367,1643485593,3457179,365525,2531080,251158,8369,20984009,27627,2782725,9234129,169851,197157159,71058654,33328,3374067691,1955243,7388668,325898,35734272,177185670,587001,1777727,20167,12189824,1633652,992521,6565985,14471211,256836391,1105104,145700,6343523,77427546,3455123,14312690,4114787,15729431,8018,3156100,1006653522,1290111,14253289,83431605,2073757,18426415,50023563,12516,3768483,36230481,335003787,3277453,18008564,9911771,3368773,,1487852,921480888,162685,277226,22475741,140823000,5504842,944315187,10988853,15562125,5909739,2646466,246447,3540170,4737257,22037,6608044,,405624490,4799434,405688903,21359026,99473,360920,5055099,1910334,8325263,629811,,64413,9590227,8654,4718162,1387365773,398263895,2915620,49255900,4140295,3019066,362664167,613238,177185670,93641,944315187,405688903,1120020,6740529,46025411,7956,19723322,13221991,50384000,1818380977,2953852,231664000,16747426,102256,16017573,12249,100068,56814306,121395,4593454253,157372,1582000,8541605,30150448,6265864,7958241
1983,62201,12537730,9278096,2843960,40867,180505996,1228459,29262047,3238595,36412,61787,15369000,7561910,6452069,4497533,9855520,4039949,7340905,86142495,8939738,396454,225084,4307905,9843000,155822,55930,5932810,129448819,254788,212076,439822,996130,2408317,25366451,108326149,6418773,131149,11907960,1023310000,9144931,9456494,28403851,1940443,28714190,336096,300230,2593020,5687092,9981304,151159,18011,694077,10323856,78128282,393802,74483,5114297,6199661,21101875,1429187408,1715519001,1634539937,360920890,808620566,8624594,46728286,304787493,1890558,38171525,1508745,38142674,411974420,312053842,4855787,685497,56023770,44488,80629,784061,56332848,4582900,12033575,29482,5195445,700199,830207,308206,9846627,96019,52100,7847472,111402,778948,955737922,5345100,4031325,292290346,4658254,6051622,10689463,3057588035,3750866217,693278182,232165092,158009246,461113090,63695,749428958,,3510600,43636837,14815656,236977,4105000,56564074,2271736,2671413,119259000,15303309,18431761,3838300,7169997,61733,42482,39910403,1576968,362498351,3489903,2622072,2057227,3614689,122564,384896426,421279107,277049449,26789,15724651,1593969308,3719629711,1452728,1668173934,3485192,365622,2546011,260931,8294,21495086,28097,2811645,9504281,176244,203834190,72709299,34889,3442580262,1965895,7545166,330524,36491800,182825264,594506,1823216,22622,12439762,1681863,1001691,6737924,14819424,259214381,1131632,148700,6528641,79414840,3549711,14367070,4128432,16100617,8171,3199300,1014600264,1361087,14600203,86285935,2121860,18870993,51408912,12843,3871492,36571808,343806020,3311138,18298214,9957865,3468535,,1522652,926566813,167451,309306,22560478,141668000,5690980,966836452,11701128,16107620,6089572,2681061,254559,3619847,4804935,22299,6618588,,417361346,4953151,417425681,21809947,101066,362276,5091971,1922321,8329033,652115,,64335,9938847,9104,4832321,1410865625,402150952,3026973,50173924,4265274,3091513,370762243,626675,182825264,93729,966836452,417425681,1138071,6937331,47073472,8041,20344547,13638729,50564000,1848610954,2973036,233792000,17177664,103032,16443134,12752,100348,58148384,124209,4675367633,158352,1614000,8869370,30993758,6481916,8254747
1984,62836,12204292,9614754,2904429,42706,186035305,1293971,29737093,3285599,37946,61786,15544000,7561434,6557581,4621103,9855372,4156819,7531242,88416521,8960679,407225,229923,4350577,9910000,160347,56423,6054123,132383568,255497,218175,451476,1031439,2478382,25607053,108853466,6441865,132446,12078135,1036825000,9530107,9757841,29119673,1996995,29331238,345466,306136,2664223,5751543,10031649,151940,18670,697714,10330213,77858685,406017,73851,5111619,6331764,21763575,1451910036,1759236282,1659131214,364686101,813373068,8843462,47968642,305299134,1946305,38330364,1518617,39374348,412931311,319554132,4881803,700483,56337666,44891,83195,805115,56422072,4622200,12405660,29283,5326362,725694,851276,331552,9895801,98477,52700,8042897,113961,775219,962190813,5397900,4154860,299959473,4680285,6194687,10668095,3113889531,3826309623,712420092,239172894,161523347,473247198,63807,766833410,,3532423,45472791,15190393,239511,4159000,56576718,2306366,2784463,120018000,15483419,19146400,3916400,7447853,62744,42199,40405956,1652150,370410991,3586316,2638054,2111671,3746715,124292,393106351,432185325,283893524,27036,15948487,1632885169,3794807260,1489691,1691966485,3514205,365998,2562047,271918,9061,22002643,28510,2840565,9780872,182850,210648811,74352631,36557,3510913736,1974415,7694855,330593,37241527,188614696,600884,1871090,25500,12636116,1730738,1012221,6964607,15192298,261488476,1162279,151650,6719309,81448755,3642976,14424211,4140099,16477473,8328,3227100,1022196070,1431070,14962381,89213706,2170325,19319746,52827040,13195,3975956,36904134,352822108,3344190,18590138,9996232,3571272,,1555389,931345425,172249,341272,22640547,142745000,5902843,989728215,12418834,16657959,6277424,2732221,262687,3707510,4871035,22549,6614715,,429457221,5096482,429521938,22269313,102829,364733,5127097,1932154,8336605,675239,,64717,10293049,9556,4957558,1433295147,406270520,3140846,51094868,4397562,3166221,378879107,641844,188614696,93788,989728215,429521938,1155074,7135270,48114155,8115,20981776,14082875,50754000,1878028567,2992246,235825000,17615040,103779,16876703,13322,100600,59512619,127049,4756998073,159248,1647000,9213084,31841593,6701540,8562249
1985,63026,11938208,9961997,2964762,44600,191650331,1366164,30216279,3335940,39519,61786,15758000,7564985,6666447,4750837,9858308,4278501,7727907,90764183,8960547,419428,234578,4392131,9975000,164921,56898,6179460,135274080,256263,224449,464266,1069582,2542169,25842116,109360713,6470365,133808,12257236,1051040000,9918196,10070806,29881229,2054312,29951201,355337,311678,2736712,5808179,10097911,152711,19467,703685,10337118,77684873,425613,73201,5113691,6464229,22431502,1475348519,1803388664,1684294889,368464042,818222369,9066109,49258732,305877727,2003937,38469512,1528781,40652141,413924483,327284879,4902206,711775,56654696,45330,85640,827108,56550268,4662900,12783613,29154,5470702,755787,872163,352118,9934300,99946,53200,8240060,116572,770435,968672259,5456200,4281161,307980296,4701417,6337273,10648713,3171073491,3903212208,732138717,246352583,164982451,485786134,64278,784360008,,3538082,47347186,15555800,241405,4233000,56593071,2335510,2900049,120754000,15665595,19877083,3990300,7714880,63986,41866,40805744,1735274,378311111,3687898,2651995,2145754,3873781,126244,401311796,443491288,291057942,27288,16176280,1672196713,3871482909,1526131,1716487312,3544543,366706,2578873,283503,11061,22499110,28832,2867878,10063495,189537,217572788,75983485,38333,3580424967,1981534,7831889,336452,37977086,194494169,605398,1921881,28720,12764387,1780030,1020528,7268267,15598927,263823014,1198148,154450,6915997,83562785,3734341,14491632,4152516,16858310,8501,3247100,1029842555,1498418,15347583,92191510,2219201,19772872,54275822,13528,4081030,37201885,362177640,3377000,18877238,10023613,3676210,,1584640,936158270,177027,370890,22732999,143858000,6146891,1012942302,13118993,17210187,6471327,2735957,270788,3805311,4936807,22798,6648627,,441922766,5220747,441988010,22740402,104924,368638,5161768,1941641,8350386,699080,,65244,10648632,9970,5095401,1456445290,410367344,3252994,52026901,4537822,3244018,386975093,657053,194494169,93896,1012942302,441988010,1170285,7329594,49133937,8219,21633796,14559355,50917000,1908228254,3011519,237924000,18061284,104506,17319520,13956,100760,60896721,129984,4840155168,159990,1682000,9572175,32678874,6923149,8877489
1986,62644,11736179,10320111,3022635,46517,197338142,1446380,30698964,3392264,41119,61754,16018400,7569794,6778624,4886743,9861823,4404506,7930694,93187603,8958171,433480,239017,4435917,10043000,169568,57382,6309130,138108912,257107,230915,478692,1110943,2597761,26100278,109846594,6504124,135249,12445823,1066790000,10307281,10395480,30683869,2112361,30572478,365760,316616,2810242,5855443,10183899,152662,20430,712340,10342227,77720436,454361,72533,5120534,6596962,23102389,1500319170,1847860252,1710989831,372210556,823200868,9292474,50602354,306640638,2064794,38584624,1540190,41965693,415076369,335239402,4918154,718639,56976123,45818,87905,850048,56681396,4704500,13164837,29094,5629418,791147,892522,369023,9967213,100191,53500,8438604,119232,764446,975437073,5524600,4410269,316358131,4721446,6478541,10630564,3229839106,3982271082,752431976,253706111,168374287,498725865,65198,801975244,,3539690,49260255,15909762,243180,4299000,56596155,2358161,3015299,121492000,15852525,20622560,4066500,7960949,65505,41479,41213674,1832310,386183203,3794198,2660872,2158429,3994597,128449,409496610,455193656,298550548,27559,16408859,1711883766,3950364261,1561692,1742456920,3578914,368355,2599892,295591,14559,22980335,29041,2893584,10352120,196264,224549844,77599098,40211,3651813713,1987538,7952865,342121,38698482,200443463,607711,1976310,32370,12808558,1829675,1028360,7666391,16043731,266290660,1239928,157350,7118883,85766399,3823130,14572278,4167354,17239673,8683,3246300,1037777618,1561185,15754507,95215378,2268500,20230384,55755355,13831,4186499,37456119,371878676,3409554,19156795,10032734,3783074,,1609574,941386226,181817,397740,22836841,144894000,6443751,1036437892,13794165,17757491,6670663,2733373,278837,3916685,5002336,23046,6736748,,454769977,5328164,454835629,23219524,107429,374140,5193838,1965964,8369829,723595,,65652,11004272,10357,5247283,1481135087,414388121,3363042,52980094,4687325,3324458,395030890,671752,200443463,94088,1036437892,454835629,1183381,7517858,50128541,8336,22296286,15070302,51097000,1939929947,3030649,240133000,18515578,105217,17772001,14649,100842,62293856,132995,4925801334,160544,1717000,9941109,33495953,7146969,9200149
1987,61833,11604534,10689250,3083605,48455,203084971,1533536,31184415,3451947,42740,61717,16263900,7574586,6893489,5027138,9870234,4535263,8140073,95671163,8971359,448971,243271,4479519,10111000,174320,57849,6442831,140891602,258019,237563,494312,1154906,2646840,26446601,110296425,6545106,136762,12642924,1084035000,10698194,10731064,31528708,2171321,31195413,376654,321135,2884851,5894827,10286643,151456,21544,723376,10347318,77839920,490330,71842,5127024,6729933,23774284,1526783271,1892643036,1739071545,375941782,828219836,9522360,51991700,307488390,2127422,38684815,1552221,43329231,416301856,343415856,4932123,721783,57302663,46349,89979,873867,56802050,4743500,13552021,29115,5801326,831023,912754,382981,10000595,99436,54100,8639108,121919,757448,982183208,5580500,4542214,325095184,4739745,6618744,10612741,3290144789,4063430290,773285501,261218240,171702763,512067261,66471,819682102,,3540057,51193782,16257070,245859,4369000,56601931,2375393,3131796,122091000,16039251,21382112,4144600,8198082,67248,41041,41621690,1938909,394027388,3905530,2667960,2153316,4109725,130856,417659736,467290514,306374108,27837,16643952,1751925747,4031393179,1596394,1769838060,3616367,370750,2626583,308180,19275,23447252,29168,2918487,10647754,203028,231570113,79200081,42173,3725019071,1992274,8062219,344485,39404335,206447530,608144,2033344,36377,12786349,1879763,1036082,8141146,16522000,268793450,1286797,160500,7328943,88048032,3909671,14665037,4186905,17623693,8865,3274400,1045652901,1619863,16180181,98285755,2318264,20691283,57263836,14123,4292563,37668045,381918512,3441850,19431986,10030031,3891734,,1630891,946693323,186584,422148,22949430,145908000,6779983,1060208539,14445671,18303435,6875754,2774789,286870,4038144,5067537,23295,6862273,,467984669,5419809,468053168,23705899,110254,381037,5222840,1989776,8397804,748632,,68499,11360852,10724,5412847,1507322668,418349572,3471739,53945881,4844002,3407321,403048813,686471,206447530,94321,1060208539,468053168,1194541,7700736,51100924,8485,22971200,15612754,51293000,1973093324,3049581,242289000,18976417,105906,18232730,15407,100901,63701972,136079,5013576387,160965,1753000,10322043,34297727,7372837,9527203
1988,61079,11618005,11068050,3142336,50434,208889682,1627066,31668949,3504659,44343,61771,16532200,7585317,7010027,5168698,9901664,4672852,8356305,98186350,8981446,465198,247451,4509461,10140000,179028,58347,6580312,143627503,258977,244404,509540,1200067,2693973,26791747,110686740,6593386,138245,12847708,1101630000,11094748,11075422,32443781,2231465,31822525,387963,325746,2960929,5930179,10397511,149254,22761,736474,10355276,78144619,528999,71208,5129516,6863441,24443467,1553557307,1937555154,1767429690,379557335,833273189,9755579,53399246,308516473,2185605,38766939,1561900,44757203,417653043,351924856,4946481,722930,57627105,46830,91985,898469,56928327,4790700,13947042,29159,5982486,873444,933045,394961,10036983,98120,54800,8842575,124673,750639,989071855,5627600,4677024,334249178,4755207,6758223,10596487,3350637888,4145325696,794687808,268847200,174975954,525840608,67926,837468930,,3524949,53077313,16612322,249740,4442000,56629288,2389411,3256558,122613000,16206002,22153676,4218400,8435912,69089,40641,42031247,2034857,401843272,4020811,2684675,2134097,4220450,133367,425800798,479814021,314578310,28129,16878189,1792245451,4113221493,1630996,1797369949,3655049,373450,2653434,320773,24378,23903592,29229,2940177,10952395,209785,238565130,80788721,44083,3798643183,1995513,8171522,347325,40085651,212456887,607413,2089715,40288,12758008,1930433,1043239,8636690,17022465,271349094,1336536,163650,7548433,90395271,3995533,14760094,4209488,18020753,9062,3283400,1053638658,1678110,16610017,101389603,2368551,21153459,58795001,14402,4399324,37824487,392393097,3473898,19708323,10019610,4001681,,1650442,952208537,191266,443605,23057662,146857000,7088191,1084281155,15070082,18867560,7086627,2846108,294972,4156634,5133274,23551,7005234,,481525537,5485282,481594292,24190638,113285,388881,5250596,1995196,8436489,773768,,68755,11719071,11093,5589626,1533819043,422137029,3577468,54891520,5001169,3493895,411037290,701809,212456887,94591,1084281155,481594292,1204153,7880332,52053765,8637,23670808,16180124,51521000,2006397732,3068705,244499000,19443887,106532,18698847,16154,100952,65120439,139315,5102293348,161376,1791000,10730862,35100909,7598275,9849125
1989,61032,11868877,11454777,3227943,52448,214753970,1725681,32148134,3536474,45894,62008,16814400,7619567,7126881,5307069,9937697,4820016,8579823,100695497,8876972,481087,251733,4507824,10170000,183469,58841,6721115,146328304,259957,251458,522179,1244484,2745734,27276781,110801640,6646912,139573,13058758,1118650000,11502449,11425800,33464765,2293166,32457499,399632,331179,3039013,5967018,10503972,146937,24039,751047,10361068,78751283,563864,70723,5132594,6997888,25106190,1579675516,1982404841,1795159128,382800641,838162533,9991870,54788685,309837592,2231141,38827764,1568131,46272299,419073156,360897419,4964371,724594,57940212,47166,94057,923711,57076711,4803300,14353410,29187,6167475,915635,953790,406620,10089498,96924,55300,9050465,127522,745585,996396222,5686200,4814702,343887505,4767260,6897755,10481719,3410072473,4226720042,816647569,276540959,178209150,540106610,69267,855334678,,3511009,54822003,16994948,252852,4518000,56671781,2403464,3399330,123116000,16249500,22935092,4307500,8691334,70853,40354,42449038,2092777,409636367,4138845,2726440,2106431,4328939,135788,433925886,492803028,323219957,28449,17106753,1832773126,4194569000,1666563,1823976433,3684255,377100,2666955,332783,28722,24355619,29305,2957047,11268658,216510,245453259,82368931,45820,3871349043,1996870,8296915,350722,40731426,218415849,606571,2141011,43540,12805946,1981899,1051260,9075572,17528961,274154622,1386010,166898,7780245,92788027,4082958,14848907,4226901,18445028,9278,3299200,1062081668,1741156,17031547,104512881,2419426,21614193,60340767,14709,4506991,37961529,403416160,3505650,19993755,10005000,4112386,,1670947,958128673,195726,461690,23161458,147721000,7276985,1108702403,15666297,19476647,7303517,2930901,303272,4254444,5200602,23817,7133258,,495338224,5511579,495407391,24669512,116320,397085,5275942,1996351,8492964,798507,,69167,12080444,11548,5773920,1559650576,425529430,3678567,55772169,5149874,3585868,419014393,718741,218415849,94851,1108702403,495407391,1212857,8060210,52992487,8779,24411738,16763042,51773000,2038575917,3088595,246819000,19918119,107071,19166471,16862,101041,66550234,142794,5190965222,161940,1827000,11189177,35930050,7820205,10153852
1990,62149,12412308,11848386,3286542,54509,222653373,1828432,32618651,3538171,47347,62528,17065100,7677850,7159000,5438957,9967379,4978496,8811034,103171956,8718289,495931,256223,4463423,10189000,187552,59326,6864842,149003223,260936,258721,530804,1286756,2806734,27691138,110743128,6715519,140671,13274623,1135185000,11924877,11780088,34612023,2356737,33102575,411594,337950,3119433,6009251,10596987,145400,25312,766615,10333355,79433029,590398,70419,5140939,7133494,25758869,1605197175,2029207305,1822193192,385427601,842570541,10230934,56134475,311262588,2258653,38867322,1569174,47887865,420477979,372396241,4986431,728573,58235697,47274,96301,949488,57247586,4802000,14773277,29147,6352283,955593,975261,419188,10196792,96331,55600,9263813,130482,743309,1004169206,5704500,4955303,354047260,4777368,7037917,10373988,3468162855,4307407025,839244170,284376771,181413402,554867399,70298,873277798,,3513974,56366217,17419113,254826,4660000,56719240,2419906,3565890,123537000,16348000,23724579,4391200,8975597,72400,40259,42869283,2095344,417409519,4258472,2803044,2075912,4436661,138020,442040696,506275612,332330635,28789,17325773,1875358869,4277170872,1703747,1849526605,3697838,381850,2663151,343808,31520,24807462,29438,2969097,11598633,223158,254215138,83943132,47271,3944840237,1996228,8449913,354170,41335199,226259037,606372,2184145,45752,12987292,2034346,1058775,9404500,18029824,277373464,1432905,170899,8026591,95212450,4173434,14951510,4241473,18905478,9505,3329800,1071033942,1812161,17430779,107647921,2470947,22071433,61895160,15058,4615839,38110782,415057375,3537000,20293054,9983218,4223415,1978248,1694332,964233474,199905,476278,23201835,148292000,7288882,1133495196,16233785,20147590,7526307,3047132,311866,4319762,5270079,24125,7225092,7586000,509382344,5492623,509451851,25134362,119209,405168,5299187,1998161,8558835,822420,,69507,12446171,12111,5963252,1584871832,428315751,3774312,56558186,5283814,3683967,426991606,737814,224280789,95069,1133495196,509451851,1221116,8242496,53921760,8913,25203845,17354392,51892000,2069481368,3109601,249623000,20510000,107484,19632665,17489,103963,67988862,146573,5281340078,162803,1862000,11709993,36800509,8036845,10432421
1991,64622,13299017,12248901,3266790,56671,228731685,1937153,33079000,3505258,48685,63367,17284000,7754891,7271000,5564926,10004486,5149499,9050084,105599127,8632367,509760,261008,4369319,10194000,191128,59021,7011453,151648011,261905,266210,534632,1326322,2878509,28037420,110469467,6799978,141467,13495258,1150780000,12362407,12137912,35908244,2422305,33758337,423872,346230,3202085,6058308,10673542,144403,26544,783124,10308578,80013896,606844,70374,5154298,7270409,26400479,1629641399,2073777602,1848222188,387394807,846356322,10472475,57424549,312708137,2266358,38966376,1561314,49609969,421730525,382637815,5013740,735401,58559311,47120,98770,975783,57424897,4835900,15207367,29022,6534939,992673,997522,432853,10319927,96460,55500,9483270,133558,744474,1012606603,5752000,5098591,364782185,4689022,7178607,10373400,3524494627,4386707250,862212623,292064422,184591903,570148201,70932,891273209,,3534235,57679034,17889459,257797,4949000,56758521,2439334,3760496,123921000,16450500,24521703,4463600,9289299,73692,40379,43295704,2031296,425153755,4379236,2921706,2040139,4544242,139995,450125305,520262423,341955755,29159,17535729,1915913909,4356603492,1742539,1873490015,3704134,387000,2650581,353626,32449,25260404,29622,2975523,11942819,229751,261046309,85512623,48404,4014647737,1993302,8635527,363845,41890197,232101440,607105,2217917,46666,13328032,2087912,1070266,9600355,18519937,281077441,1476388,175362,8288735,97667632,4267568,15069798,4261732,19405504,9764,3495100,1080817111,1893768,17813831,110778648,2523118,22522378,63454786,15441,4725547,38246193,427398511,3562110,20609150,9960235,4334345,2068845,1721237,970954772,203726,487353,23001155,148624000,7083935,1158655617,16772694,20891441,7755496,3135083,320780,4348660,5342198,24460,7274030,7595636,523656474,5420171,523726913,25593376,121956,413005,5303294,1999429,8617375,845266,,70439,12815401,12811,6157079,1608999005,430330022,3862992,57232465,5400630,3789185,434963098,759527,230032595,95246,1158655617,523726913,1229103,8427857,54840590,9026,26056594,17953531,52000470,2098733828,3131660,252981000,20952000,107776,20096317,18006,104807,69436954,150716,5369210095,163997,1898000,12302124,37718950,8246656,10680995
